Student_ID,CGPA,Technical_Skills,Internships,Backlogs,Placement_Status
1,8.9,"Python,SQL",2,0,1
2,6.5,"Java",0,1,0
3,9.2,"Python,Java,SQL",3,0,1
4,7.1,"C++",1,0,0
5,8.7,"Python,Machine Learning",2,0,1
6,5.9,"Java",0,1,0
7,8.4,"Python,SQL,Power BI",2,0,1
8,7.0,"C++,Java",1,0,0
9,9.0,"Python,Machine Learning,SQL",3,0,1
10,6.8,"Java,SQL",0,1,0
11,8.3,"Python",1,0,1
12,7.2,"C++",1,0,0
13,9.4,"Python,Java,SQL",4,0,1
14,6.2,"Java",0,1,0
15,8.8,"Python,Machine Learning",2,0,1
16,7.3,"SQL",1,0,0
17,8.5,"Python,SQL",2,0,1
18,5.8,"Java",0,1,0
19,9.1,"Python,Java,Machine Learning",3,0,1
20,6.9,"C++",1,1,0
21,8.0,"Python,Power BI",1,0,1
22,7.4,"Java,SQL",1,0,0
23,8.6,"Python,Machine Learning",2,0,1
24,6.1,"Java",0,1,0
25,9.3,"Python,Java,SQL",4,0,1
26,7.0,"C++",1,0,0
27,8.2,"Python,SQL",2,0,1
28,6.4,"Java",0,1,0
29,8.9,"Python,Machine Learning,SQL",3,0,1
30,7.1,"C++",1,0,0
31,8.4,"Python,Power BI",2,0,1
32,6.7,"Java,SQL",0,1,0
33,9.0,"Python,Machine Learning",3,0,1
34,7.5,"C++",1,0,0
35,8.7,"Python,SQL",2,0,1
36,6.3,"Java",0,1,0
37,9.2,"Python,Java,SQL",4,0,1
38,7.2,"C++",1,0,0
39,8.5,"Python,Machine Learning",2,0,1
40,6.6,"Java",0,1,0
41,8.8,"Python,SQL,Power BI",2,0,1
42,7.1,"C++",1,0,0
43,9.1,"Python,Machine Learning,SQL",3,0,1
44,6.0,"Java",0,1,0
45,8.3,"Python",1,0,1
46,7.4,"SQL",1,0,0
47,8.9,"Python,Java,Machine Learning",3,0,1
48,6.8,"Java",0,1,0
49,9.4,"Python,SQL,Machine Learning",4,0,1
50,7.0,"C++",1,0,0
